common_name,latin_binomial,tax_order,notes
Yellow-throated Warbler,Setophaga dominica,323,Rare/Accidental
Prairie Warbler,Setophaga discolor,324,
Black-throated Green Warbler,Setophaga virens,325,
Canada Warbler,Cardellina canadensis,326,
Wilson's Warbler,Cardellina pusilla,327,
Grasshopper Sparrow,Ammodramus savannarum,328,
Henslow's Sparrow,Ammodramus henslowii,329,Rare/Accidental Near-threatened
LeConte's Sparrow,Ammodramus leconteii,330,Rare/Accidental
Nelson's Sparrow,Ammodramus nelsoni,331,
American Tree Sparrow,Spizelloides arborea,332,
Chipping Sparrow,Spizella passerina,333,
Clay-colored Sparrow,Spizella pallida,334,
Field Sparrow,Spizella pusilla,335,
Lark Sparrow,Chondestes grammacus,336,Rare/Accidental
Lark Bunting,Calamospiza melanocorys,337,Rare/Accidental
Fox Sparrow,Passerella iliaca,338,
Dark-eyed Junco,Junco hyemalis,339,
White-crowned Sparrow,Zonotrichia leucophrys,340,
Golden-crowned Sparrow,Zonotrichia atricapilla,341,Rare/Accidental
Harris's Sparrow,Zonotrichia querula,342,Rare/Accidental
White-throated Sparrow,Zonotrichia albicollis,343,
Vesper Sparrow,Pooecetes gramineus,344,
Savannah Sparrow,Passerculus sandwichensis,345,
Song Sparrow,Melospiza melodia,346,
Lincoln's Sparrow,Melospiza lincolnii,347,
Swamp Sparrow,Melospiza georgiana,348,
Green-tailed Towhee,Pipilo chlorurus,349,Rare/Accidental
Spotted Towhee,Pipilo maculatus,350,Rare/Accidental
Eastern Towhee,Pipilo erythrophthalmus,351,
Yellow-breasted Chat,Icteria virens,352,Rare/Accidental
Summer Tanager,Piranga rubra,353,Rare/Accidental
Scarlet Tanager,Piranga olivacea,354,
Western Tanager,Piranga ludoviciana,355,Rare/Accidental
Northern Cardinal,Cardinalis cardinalis,356,
Rose-breasted Grosbeak,Pheucticus ludovicianus,357,
Black-headed Grosbeak,Pheucticus melanocephalus,358,Rare/Accidental
Blue Grosbeak,Passerina caerulea,359,Rare/Accidental
Indigo Bunting,Passerina cyanea,360,
Painted Bunting,Passerina ciris,361,Rare/Accidental Near-threatened
Dickcissel,Spiza americana,362,Rare/Accidental
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,363,Rare/Accidental
Bobolink,Dolichonyx oryzivorus,364,
Western Meadowlark,Sturnella neglecta,365,Rare/Accidental
Eastern Meadowlark,Sturnella magna,366,
Orchard Oriole,Icterus spurius,367,
Bullock's Oriole,Icterus bullockii,368,Rare/Accidental
Baltimore Oriole,Icterus galbula,369,
Red-winged Blackbird,Agelaius phoeniceus,370,
Brown-headed Cowbird,Molothrus ater,371,
Rusty Blackbird,Euphagus carolinus,372,Vulnerable
Brewer's Blackbird,Euphagus cyanocephalus,373,Rare/Accidental
Common Grackle,Quiscalus quiscula,374,
